"encrpyted_course_id","encrpyted_etest_info_id","FINAL_SCORE","REG_DATE","scaled_score","prev_test","prev_2_test","prev_3_test","prev_4_test","prev_5_test","prev_6_test","prev_7_test","prev_8_test"
"702aa990245e380933ad995c44b2db78","c1e969523c94a8eac39d92994787c6b6",10,20200604150049,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","8a7f3e1b8acdc02df9ab61eeb8a9b9bb",10,20200611150654,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","46d75f5465d6b0b79dbc73cde421e3b9",10,20200528150314,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","c1e969523c94a8eac39d92994787c6b6",10,20200604151644,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","8a7f3e1b8acdc02df9ab61eeb8a9b9bb",10,20200611152207,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","c1e969523c94a8eac39d92994787c6b6",10,20200604154247,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","8a7f3e1b8acdc02df9ab61eeb8a9b9bb",10,20200611150559,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","46d75f5465d6b0b79dbc73cde421e3b9",10,20200528150203,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","c1e969523c94a8eac39d92994787c6b6",10,20200604151040,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","8a7f3e1b8acdc02df9ab61eeb8a9b9bb",10,20200611152119,1,1,1,1,1,1,1,1,1
"fad033ce9ddbe1aac95068c3e5debed3","a4127944dda1fb9a9d5d8883cd3f5b29",10,20200610150556,1,1,1,1,1,1,1,0.5,1
"fad033ce9ddbe1aac95068c3e5debed3","032d64c99d645a154fd01b597b6c818c",10,20200603151146,1,1,1,1,1,1,1,0.75,1
"fad033ce9ddbe1aac95068c3e5debed3","a4127944dda1fb9a9d5d8883cd3f5b29",10,20200610150455,1,1,1,1,1,1,1,1,0.75
"fad033ce9ddbe1aac95068c3e5debed3","a4127944dda1fb9a9d5d8883cd3f5b29",10,20200610152335,1,1,1,1,1,1,1,0.75,0
"fad033ce9ddbe1aac95068c3e5debed3","032d64c99d645a154fd01b597b6c818c",10,20200603151156,1,1,1,1,1,1,1,1,1
"fad033ce9ddbe1aac95068c3e5debed3","a4127944dda1fb9a9d5d8883cd3f5b29",10,20200610151049,1,1,1,1,1,1,1,1,1
"fad033ce9ddbe1aac95068c3e5debed3","032d64c99d645a154fd01b597b6c818c",10,20200603151024,1,1,1,1,1,1,1,0.375,1
"fad033ce9ddbe1aac95068c3e5debed3","a4127944dda1fb9a9d5d8883cd3f5b29",10,20200610153736,1,1,1,1,1,1,1,1,0.375
"fad033ce9ddbe1aac95068c3e5debed3","a4127944dda1fb9a9d5d8883cd3f5b29",10,20200610155004,1,1,1,1,1,1,1,0.5,0.5
"fad033ce9ddbe1aac95068c3e5debed3","3ef358ee0789943c9ca2a6c15d6b0084",0,NULL,0,1,1,1,1,1,1,1,0.5
"fad033ce9ddbe1aac95068c3e5debed3","032d64c99d645a154fd01b597b6c818c",10,20200603151407,1,1,1,1,1,1,1,0.75,1
"fad033ce9ddbe1aac95068c3e5debed3","a4127944dda1fb9a9d5d8883cd3f5b29",10,20200610150051,1,1,1,1,1,1,1,1,0.75
